,FECHA (YYMMDD),HORA (HHMM),Porcentaje,Registros validados,Temperatura (°C)
16534,181222,1700,44.4133,8.0,14.8719
16535,181222,1800,50.8566,8.0,14.171
16536,181222,1900,55.0499,8.0,13.2485
16537,181222,2000,58.4865,8.0,12.6319
16538,181222,2100,61.4073,8.0,12.2901
16539,181222,2200,64.3835,8.0,11.9226
16540,181222,2300,65.41,8.0,11.6618
16541,181223,0,64.6809,7.0,11.6059
16542,181223,100,63.0671,7.0,11.6484
16543,181223,200,59.2553,7.0,11.8668
16544,181223,300,59.256,7.0,11.6926
16545,181223,400,61.2802,7.0,11.2675
16546,181223,500,60.0818,7.0,11.07
16547,181223,600,58.2093,7.0,11.195
16548,181223,700,54.565,7.0,11.7983
16549,181223,800,51.8646,7.0,12.4011
16550,181223,900,46.5612,7.0,13.9928
16551,181223,1000,42.2693,7.0,16.213
16552,181223,1100,44.3635,7.0,16.5038
16553,181223,1200,48.1226,7.0,16.3004
16554,181223,1300,51.9067,7.0,15.5452
16555,181223,1400,49.8516,7.0,16.0521
16556,181223,1500,53.8415,7.0,15.7135
16557,181223,1600,59.1089,7.0,15.016
16558,181223,1700,60.6323,7.0,14.9109
16559,181223,1800,63.8231,7.0,14.4884
16560,181223,1900,68.261,7.0,14.0076
16561,181223,2000,76.1925,7.0,13.0226
16562,181223,2100,75.8816,7.0,13.0193
16563,181223,2200,76.4506,7.0,13.0368
16564,181223,2300,70.5455,7.0,13.7759
16565,181224,0,66.8712,9.0,14.2408
16566,181224,100,63.7909,9.0,14.6208
16567,181224,200,59.475,9.0,15.0317
16568,181224,300,59.8575,9.0,15.0967
16569,181224,400,60.6624,9.0,14.9854
16570,181224,500,63.8257,9.0,14.6546
16571,181224,600,61.8415,9.0,14.7679
16572,181224,700,59.0646,9.0,15.3028
16573,181224,800,58.093,9.0,15.7136
16574,181224,900,57.9395,9.0,15.987
16575,181224,1000,59.7867,9.0,16.1212
16576,181224,1100,57.8441,9.0,16.7404
16577,181224,1200,55.8199,9.0,17.3621
16578,181224,1300,54.3824,9.0,17.9211
16579,181224,1400,54.0056,9.0,18.3386
16580,181224,1500,57.3622,9.0,17.751
16581,181224,1600,57.0354,9.0,17.431
16582,181224,1700,67.4175,9.0,15.8001
16583,181224,1800,69.6831,9.0,14.5484
16584,181224,1900,69.318,9.0,13.9501
16585,181224,2000,71.0962,9.0,13.0051
16586,181224,2100,61.0668,9.0,12.73
16587,181224,2200,62.8292,9.0,11.615
16588,181224,2300,71.6658,9.0,10.2458
16589,181225,0,70.1549,9.0,9.80281
16590,181225,100,68.619,9.0,9.5853
16591,181225,200,63.8344,9.0,9.08611
16592,181225,300,62.2993,9.0,8.34268
16593,181225,400,66.2219,9.0,7.23912
16594,181225,500,58.7367,9.0,7.09554
16595,181225,600,50.8391,9.0,8.97862
16596,181225,700,46.09,9.0,10.1627
16597,181225,800,46.3433,9.0,10.9294
16598,181225,900,43.9949,9.0,12.1644
16599,181225,1000,40.2989,9.0,13.4294
16600,181225,1100,36.1147,9.0,14.5759
16601,181225,1200,34.1313,9.0,15.5126
16602,181225,1300,34.028,9.0,16.3335
16603,181225,1400,32.0837,9.0,17.3202
16604,181225,1500,31.5443,9.0,17.9818
16605,181225,1600,31.4593,9.0,17.8409
16606,181225,1700,35.2619,9.0,17.1901
16607,181225,1800,36.2094,9.0,16.5909
16608,181225,1900,43.1975,9.0,14.6875
16609,181225,2000,50.3204,9.0,13.1938
16610,181225,2100,53.5813,9.0,12.3038
16611,181225,2200,56.5362,9.0,11.6047
16612,181225,2300,58.1528,9.0,11.0572
16613,181226,0,59.8261,7.0,10.5622
16614,181226,100,62.2043,7.0,9.95712
16615,181226,200,66.7511,7.0,9.0621
16616,181226,300,71.1393,7.0,8.00842
16617,181226,400,76.8774,7.0,6.33404
16618,181226,500,78.8782,7.0,5.25562
16619,181226,600,70.738,7.0,7.49519
16620,181226,700,59.4189,7.0,10.5554
16621,181226,800,55.8289,7.0,11.8611
16622,181226,900,46.5521,7.0,13.8545
16623,181226,1000,40.6818,7.0,15.9977
16624,181226,1100,29.681,7.0,18.5836
16625,181226,1200,25.1435,7.0,20.5169
16626,181226,1300,27.1902,7.0,21.7094
16627,181226,1400,26.3459,7.0,23.2351
16628,181226,1500,26.9433,7.0,23.13
16629,181226,1600,26.4016,7.0,21.98
16630,181226,1700,23.3766,7.0,21.0025
16631,181226,1800,16.4982,7.0,18.7749
16632,181226,1900,29.7507,7.0,17.1115
16633,181226,2000,41.7656,7.0,15.1078
16634,181226,2100,46.1838,7.0,14.3686
16635,181226,2200,48.9854,7.0,14.007
16636,181226,2300,53.1675,7.0,13.2885
16637,181227,0,59.7169,5.0,12.0611
16638,181227,100,60.7753,5.0,11.4778
16639,181227,200,62.8603,5.0,10.892
16640,181227,300,64.2539,5.0,10.492
16641,181227,400,62.9136,5.0,10.2811
16642,181227,500,67.5013,5.0,9.73528
16643,181227,600,57.4069,5.0,10.4353
16644,181227,700,51.3019,5.0,12.2053
16645,181227,800,53.2368,5.0,12.8635
16646,181227,900,53.4659,5.0,12.9352
16647,181227,1000,51.4658,5.0,13.4935
16648,181227,1100,49.8983,5.0,13.6802
16649,181227,1200,45.1497,5.0,13.7713
16650,181227,1300,40.1996,5.0,15.0947
16651,181227,1400,37.9387,5.0,16.0752
16652,181227,1500,42.6169,5.0,15.3805
